name,year,designer,description,sector,participants,how_many,voluntarity,Intention,when,context,medium,input,var_mechanisms,focus,approach,results,results_context,integration
Oi,2016,Wolff Olins,Voz,,unsure,one person,unsure,intended,unsure,unsure,computer,audio or video capture,"colour variation, shape transformation",symbol,reactivity,overall usage,public,system
Silvertown,2022,DNCO,Combinando diferentes formas através de carimbos,,unsure,"multiple people, one person",voluntary,intended,unsure,unsure,physical materials,object manipulation,"combination, repetition",system,element conjugation,printed materials,public,unsure
Crane,2022,Collins,Escrita do nome e escolha de cores,,anyone,one person,voluntary,intended,unsure,anywhere,unsure,"parameters/options, text","colour variation, shape transformation",system,parameter/option manipulation,printed materials,unsure,extension
World Design Capital Helsinki 2012,2012,Kokoro & Moi,Desenho interpretando as temáticas centrais do projeto,,anyone,one person,voluntary,intended,design process,workshops,physical materials,drawing/writing,content variation,system,element creation,overall usage,public,system
Vietnam Design Day,2024,"Xuan Phan, Ven Bui (Design) and Quang Do (Motion)",Movimento,,staff,"multiple people, one person",mixed,intended,unsure,unsure,computer,audio or video capture,shape transformation,system,reactivity,overall usage,public,system
Barbie Movie,2023,unsure,"Tirando uma foto, alterando a cor dos elementos e completando uma frase.",,anyone,one person,voluntary,intended,anytime,anywhere,"computer, mobile device","image, parameters/options, text","colour variation, content variation",system,parameter/option manipulation,social media content,public,extension
Creativity for Awareness,2024,Cylia Mélet,Pintando e combinando stencils,,staff,one person,voluntary,intended,in specific moments,workshops,physical materials,drawing/writing,"colour variation, combination, content variation, positioning, repetition",system,"element conjugation, element creation",printed materials,public,system
La Cascade,2024,Méline Renck,"Colando Autocolantes circulares numa base já feita, completando-a",,anyone,multiple people,voluntary,intended,anytime,street,physical materials,object manipulation,positioning,system´s element,element conjugation,printed materials,public,system
Lesley Moore,2004,Lesley Moore,Combinação das formas disponíveis para gerar novos Símbolos,,unsure,one person,voluntary,intended,anytime,anywhere,computer,object manipulation,"combination, positioning, repetition",symbol,element conjugation,overall usage,public,system
Making,2014,Garbett,Utilizam fio para representar o seu nome numa matriz alfabética,,visitors,one person,voluntary,unsure,in specific moments,events,physical materials,object manipulation,shape transformation,system,unsure,printed materials,public,system
Exploring the world of ASMR,2022,DNCO,Através da produção de sons (ASMR),,unsure,unsure,unsure,intended,unsure,unsure,unsure,audio or video capture,shape transformation,system,reactivity,overall usage,public,system
Nutella,2000,Alguém,Escolhem o conteúdo escrito no rótulo,,members/clients,one person,voluntary,intended,unsure,entities location,unsure,text,content variation,logotype,parameter/option manipulation,product packaging,private,extension
Foxtale,2000,Alguém,Escolhem o conteúdo escrito no rótulo,,anyone,one person,voluntary,intended,unsure,anywhere,"computer, mobile device",text,content variation,system´s element,parameter/option manipulation,product packaging,private,extension
Jones Soda,2000,Alguém,Enviam fotos para serem colocadas nos rótulos / Personalizam os rótulos com foto + texto atrás (My Jones),,anyone,one person,voluntary,intended,anytime,anywhere,"computer, mobile device",image,content variation,system,parameter/option manipulation,product packaging,private,system
Share a Coke,2011,Coca Cola Company,Personalizar o rótulo,,anyone,one person,voluntary,intended,unsure,anywhere,"computer, mobile device","parameters/options, text",content variation,"logotype, system",parameter/option manipulation,product packaging,private,extension
Get Well Soon Soup,2024,Heinz,Esolhem o conteúdo do rótulo,,unsure,one person,voluntary,intended,unsure,anywhere,unsure,text,content variation,system´s element,parameter/option manipulation,product packaging,private,extension
