Name,Year,Authors,Description,Sector,Who Participates,How Many People Participate,Is the Participation Voluntary,Is the participation Intended,When Do You Participate,Where Do You Participate,What's the Medium of Participation,What's the User Input,What Changes,What's the Target,How do You Participate,What are the Output Applications,Who can see the Applications,Where are the Elements Integrated Into,Tag
COMPOUND,2024 (?),Design Studio,Escrita à mão do nome e modelo 3D da pessoa,,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,Mobile,Drawing/Writing,Shape,Logotype,Element Creation,Website/App Content,Just the Individual,System,DVI
Storyline,2013,Work in Progress,Escrevendo num retângulo branco,,Unsure,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Unsure,Physical,Drawing/Writing,Content,System,Element Creation,Overall Usage,The Public,System,DVI
Festival UxU,2013,Bruce Mau Design,"Criação de uma versão livre do símbolo (p.e. ilustração, 3D, fotografia…)",,Guest Artists,One Person,Voluntary,Intended,After the Design Process,Unsure,"Computer, Mobile, Physical",Image,Content,Symbol,Element Creation,Printed Materials,The Public,System,DVI
tegn_3,2013,Neue,Clicks em traços para gerar elementos mais complexos,,Staff,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Mobile, Physical","Drawing/Writing, Parameters/Options",Positioning,System,Element Reactivity,Printed Materials,The Public,System,DVI
Google Doodles,1998,Dennis Hwang,Envio de sugestões por email ou em concursos organizados em volta de certos temas ou ocasiões,,Anyone,One Person,Voluntary,Emergent,After the Design Process,Anywhere,"Computer, Mobile",Image,Content,Logotype,Element Creation,Website/App Content,The Public,Extension,DVI
Design Pasar,2019,Foreign Policy Design,Conjugando autocolantes de diversas formas,,Anyone,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Events,Physical,Object Manipulation,"Color, Combination, Positioning, Repetition",System,Element Combination,"Merchandise, Printed Materials",The Public,System,DVI
Figment,2021,Foreign Policy Design,Colando Selos,,Members/Clients,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Home,Physical,Object Manipulation,Content,System's Element,Element Combination,Printed Materials,A Group of People,System,DVI
Oi,2016,Wolff Olins,Voz,,Unsure,One Person,Unsure,Intended,After the Design Process,Unsure,Computer,Audio or Video Capture,"Color, Shape",Symbol,Element Reactivity,Overall Usage,The Public,System,DVI
Silvertown,2022 (?),DNCO,Combinando diferentes formas através de carimbos,,Unsure,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Unsure,Physical,Object Manipulation,"Combination, Repetition",System,Element Combination,Printed Materials,The Public,Extension,DVI
Crane,2022,Collins,Escrita do nome e escolha de cores,,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile","Parameters/Options, Text","Color, Shape",System,"Element Manipulation, Element Reactivity",Printed Materials,Unsure,Extension,DVI
World Design Capital Helsinki 2012,2012,Kokoro & Moi,Desenho interpretando as temáticas centrais do projeto,,Anyone,One Person,Voluntary,Intended,During the Design Process,Workshops,Physical,Drawing/Writing,Content,System,Element Creation,Overall Usage,The Public,System,DVI
Vietnam Design Day,2024,"Xuan Phan, Ven Bui (Design) and Quang Do (Motion)",Movimento,,Staff,"Multiple People, One Person",Mixed,Intended,After the Design Process,Events,Computer,Audio or Video Capture,Shape,System,Element Reactivity,Overall Usage,The Public,System,DVI
Barbie Movie,2023,In-house Team,"Tirando uma foto, alterando a cor dos elementos e completando uma frase.",,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile","Image, Parameters/Options, Text","Color, Content",System,Element Manipulation,Social Media Content,The Public,Extension,DVI
Creativity for Awareness,2024,Cylia Mélet,Pintando e combinando stencils,,Staff,One Person,Voluntary,Intended,After the Design Process,Workshops,Physical,Drawing/Writing,"Color, Combination, Content, Positioning, Repetition",System,"Element Combination, Element Creation",Printed Materials,The Public,System,DVI
La Cascade,2024,Méline Renck,"Colando Autocolantes circulares numa base já feita, completando-a",,Anyone,Multiple People,Voluntary,Intended,After the Design Process,Outside,Physical,Object Manipulation,Positioning,System's Element,Element Combination,Printed Materials,The Public,System,DVI
Lesley Moore,2004,Lesley Moore,Combinação das formas disponíveis para gerar novos Símbolos,,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,Computer,Object Manipulation,"Combination, Positioning, Repetition",Symbol,Element Combination,Overall Usage,The Public,System,DVI
Making,2014,Garbett,Utilizam fio para representar o seu nome numa matriz alfabética,,Attendees,One Person,Voluntary,Emergent,After the Design Process,Events,Physical,Object Manipulation,Shape,System,Element Manipulation,Printed Materials,The Public,System,DVI
Exploring the world of ASMR,2022,DNCO,Através da produção de sons (ASMR),,Unsure,Unsure,Unsure,Intended,After the Design Process,Unsure,Unsure,Audio or Video Capture,Shape,System,Element Reactivity,Overall Usage,The Public,System,DVI
Nutella,2025,The Ferrero Group,Escolhem o conteúdo escrito no rótulo,,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Entity Location,"Computer, Mobile",Text,Content,Logotype,Element Manipulation,Product Packaging,A Group of People,Extension,DVI
Foxtale,2025,The Foxtale Gin Company,Escolhem o conteúdo escrito no rótulo,,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile",Text,Content,System's Element,Element Manipulation,Product Packaging,A Group of People,Extension,DVI
Jones Soda,2025,Jones Soda Company,Enviam fotos para serem colocadas nos rótulos / Personalizam os rótulos com foto + texto atrás (My Jones),,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile",Image,Content,System,Element Manipulation,Product Packaging,A Group of People,System,DVI
Share a Coke,2025,Coca Cola Company,Personalizar o rótulo,,Anyone,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile","Parameters/Options, Text",Content,"Logotype, System",Element Manipulation,Product Packaging,A Group of People,Extension,DVI
Get Well Soon Soup,2011,Heinz,Esolhem o conteúdo do rótulo,,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,"Computer, Mobile",Text,Content,System's Element,Element Manipulation,Product Packaging,A Group of People,Extension,DVI
