Name,Year,Authors,Description,Sector,Who participates?,How many people?,Is it voluntary?,Is it intended?,When?,Where?,How?,What's the medium?,What's the user input?,What changes?,What's the target?,Where are the elements integrated into?,What are the output applications?,Who are the applications accessible to?
Outschool,2022,Geist,"Manipulação de formas ",Education and Research,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Manipulation,"Computer, Mobile",Parameters/Options,Shape,System Element,System,Overall Usage,The Public
Compound,2024,Design Studio,Escrita à mão do nome e modelo 3D da pessoa,Sports and Fitness,Members/Clients,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Creation,Mobile,Drawing or Writing,Shape,"Logotype, Marca gráfica",System,Digital Content,Only the Participant
Storyline,2013,Work in Progress,Escrevendo num retângulo branco,Media and Communication,Unsure,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Unsure,Element Creation,Physical,Drawing or Writing,Content,System,System,Overall Usage,The Public
Festival UxU,2013,Bruce Mau Design,"Criação de uma versão livre do símbolo (p.e. ilustração, 3D, fotografia…)","Events and Exhibitions, Music and Entertainment",Guest Artists,One Person,Voluntary,Intended,After the Design Process,Unsure,Element Creation,"Computer, Mobile, Physical",Image,Content,"Marca gráfica, Symbol",System,Printed Materials,The Public
tegn_3,2013,Neue,Clicks em traços para gerar elementos mais complexos,Architecture,Staff,One Person,Voluntary,Intended,After the Design Process,Anywhere,Element Reactivity,"Mobile, Physical","Drawing or Writing, Parameters/Options",Positioning,System,System,Printed Materials,The Public
Google Doodles,1998,Dennis Hwang,Envio de sugestões por email ou em concursos organizados em volta de certos temas ou ocasiões,"Media and Communication, Technology and Information",Anyone,One Person,Voluntary,Emergent,After the Design Process,Anywhere,Element Creation,"Computer, Mobile",Image,Content,"Logotype, Marca gráfica",Extension,Digital Content,The Public
Design Pasar,2019,Foreign Policy Design,Conjugando autocolantes de diversas formas,"Art and Design, Events and Exhibitions",Anyone,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Events,Element Combination,Physical,Object Manipulation,"Color, Combination, Positioning, Repetition",System,System,"Merchandise, Printed Materials",The Public
Figment,2021,Foreign Policy Design,Colando Selos,Real Estate,Members/Clients,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Home,Element Combination,Physical,Object Manipulation,Content,System Element,System,Printed Materials,Only the Participant
Oi,2016,Wolff Olins,Voz,"Services, Technology and Information",Unsure,One Person,Unsure,Intended,After the Design Process,Unsure,Element Reactivity,Computer,Audio or Video Capture,"Color, Shape","Marca gráfica, Symbol",System,Overall Usage,The Public
Silvertown,2022,DNCO,Combinando diferentes formas através de carimbos,Public Administration,Unsure,"Multiple People, One Person",Voluntary,Intended,After the Design Process,Unsure,Element Combination,Physical,Object Manipulation,"Combination, Repetition",System,Extension,Printed Materials,The Public
